system,score,true_social_value_recovered,false_social_harm_realized,missed_true_harm,equity_gap,calibration_mse,win_share
hybrid,0.9446218699460748,0.8451079547938264,0.00018347762534194964,0.1548920452061729,0.024467192337555406,0.03482475300374195,0.388
open,0.8680624940365557,0.8224997438377949,0.0008407321458385535,0.1775002561622044,0.04165942903003445,0.037037077911250355,0.19
open_triage,0.9494536631060141,0.8470412791540839,1.6648487824109362e-05,0.15295872084591533,0.024954709280448475,0.03515474939566088,0.405
peer_review,0.5580689279446699,0.7278350387903942,0.004236772841356711,0.2721649612096049,0.08789137766509429,0.06212598028643834,0.017
