regime,peer_minus_triage,ci_low,ci_high
independent,-0.08429298141417993,-0.09592696136927677,-0.07265900145908309
multifield_moderate,-0.04490290015611443,-0.052198444396176116,-0.03760735591605274
multifield_strong,-0.008818491662403841,-0.01450161473167878,-0.003135368593128904
