regime,system,score,true_value_recovered,false_recognition_rate,calibration_mse,mean_time_to_recognition,attention_coverage,attention_gini,rejected_final_share
independent,hybrid,0.8917572372717253,0.8242778858446864,0.0009143102201404511,0.041405873247780424,3.5276273520303576,0.9998666666666666,0.41980433891187285,0.0
independent,open,0.8330013335107245,0.7817943566137066,0.0031994389679440866,0.049129618867010574,4.344495549476199,0.9858933333333333,0.5532999496395595,0.0
independent,open_triage,0.9063364556517164,0.833350092474151,0.000604114451353747,0.039289771146527916,3.426598197509756,1.0,0.37012613482650697,0.0
independent,peer_review,0.7821585290606822,0.7490571110599711,0.004122051525234046,0.05923463012423698,4.241685130940693,0.9709466666666666,0.5922284560494582,0.042493333333333334
multifield_moderate,hybrid,0.893390259170169,0.8317242993274672,0.0025758221986084285,0.0454146203091577,3.592954225200192,0.9999466666666667,0.4142343747343015,0.0
multifield_moderate,open,0.8512691190548004,0.8104990344536533,0.010554510883116063,0.052675623975163635,4.561327252551498,0.99036,0.5447823429039177,0.0
multifield_moderate,open_triage,0.9031852855143563,0.8362862504474009,0.0016598372544564801,0.043902397585317,3.530530370349865,1.0,0.36882455535493996,0.0
multifield_moderate,peer_review,0.799804431372845,0.7913833502912865,0.02058053357723982,0.0654500341658744,4.6854066891446,0.9825333333333333,0.5774948575396599,0.042493333333333334
multifield_strong,hybrid,0.8892533655543116,0.8420762478042231,0.007973360461390237,0.05297129547375592,3.6634602845058506,1.0,0.40758402915894604,0.0
multifield_strong,open,0.8410617221834564,0.8362589850216412,0.031157576434772512,0.06268852531388251,4.662088087911839,0.9935466666666667,0.5342955665491299,0.0
multifield_strong,open_triage,0.9013249970322552,0.8425364604894195,0.002768848373132388,0.05013596920798813,3.549090664521704,1.0,0.36930306184471917,0.0
multifield_strong,peer_review,0.7748348962549677,0.8337179688270157,0.06041468113026845,0.08078344416624779,4.758028190975209,0.98912,0.5579065015441238,0.042493333333333334
