system,score,calibration_mse,true_value_recovered,false_recognition_rate,mixed_recognition_rate
open,0.8796480257675703,0.04628748670367154,0.8051596906008075,0.0015727443139454936,0.2849337826209848
peer,0.3837334532233847,0.17290140282889213,0.4832055535641928,0.0001690395808247824,0.10249855528065244
triage,0.9226296370008761,0.040463166135733294,0.8356120772398211,0.00017908560560314795,0.3122383960452419
