metric,mean,ci_low,ci_high
false_recognition_rate_diff_open_minus_peer,-0.0031975680209641467,-0.0037388896903902025,-0.0026746243652478402
attribution_integrity_diff_open_minus_peer,0.11205255053981428,0.10510943984720547,0.11923964503524823
captured_value_share_diff_open_minus_peer,-0.0024087562819184827,-0.0029768111556797753,-0.0018625015779013987
attention_gini_diff_open_minus_peer,-0.21838653607940375,-0.22029691223807846,-0.21644351203277484
