scenario,mean_gap,ci_low,ci_high,median,open_higher_share,peer_higher_share
baseline,0.018349469399871227,0.016734355086290304,0.02001876602667919,0.01720092643237155,0.848,0.152
finance,0.020089646820664834,0.01851321925784442,0.021618767740149373,0.0193334907278054,0.89,0.11
government,0.017900067955477505,0.016304255249426677,0.019497660577697383,0.0157375181756652,0.87,0.13
fame,0.019689659745038585,0.017989914979240768,0.02137273283207216,0.01680457953125255,0.862,0.138
entropy,0.02916884989276441,0.027134776133809838,0.031205295680287102,0.02632176005339185,0.918,0.082
attribution,0.018814801274522026,0.017259097405512,0.02042069105407728,0.016906571382888952,0.874,0.126
all,0.030739644841320773,0.028739347033695562,0.032833607929005325,0.02765529331875275,0.932,0.068
