gate,exploration_share,true_value_recovered,true_value_sd,false_recognition_rate,calibration_mse,attention_gini,true_value_se,ci_low,ci_high
0,0.0,0.8379895010441074,0.0873593729627924,0.00019444444444444446,0.034857633717651215,0.37880319115915534,0.007132862933611003,0.8240090896942298,0.851969912393985
0,0.1,0.8352403147938752,0.08702678045270086,0.0004520264681555005,0.035113187314517645,0.3722240898489181,0.0071057068688778115,0.8213131293308746,0.8491675002568757
0,0.2,0.8398734833979021,0.07977551277775856,0.00047440087145969497,0.0347647732154815,0.3658635549889648,0.006513643342479598,0.8271067424466422,0.8526402243491621
0,0.3,0.8349403821849278,0.08723819946006804,0.0005484749455337691,0.035633145457548074,0.35973421696110847,0.0071229691585436555,0.8209793626341823,0.8489014017356734
0,0.4,0.8379216178318165,0.08386929350013402,0.00041879030318928015,0.03454437171291793,0.3546655749734586,0.006847899138768338,0.8244997355198306,0.8513435001438024
0,0.5,0.8368340612613376,0.08304611617784968,7.407407407407407e-05,0.034876764592916686,0.3495454447933939,0.006780686991854098,0.8235439147573036,0.8501242077653717
0,0.6,0.8407845342534861,0.08008356613482853,0.0002962962962962963,0.03467758675091565,0.345212093485348,0.0065387957937586925,0.827968494497719,0.8536005740092532
0,0.7,0.8426110634733177,0.0772732323937694,0.00018518518518518518,0.03452166795541628,0.3410221389041883,0.0063093330046746325,0.8302447707841555,0.8549773561624799
0,0.8,0.8398943635072531,0.0766722249983032,0.00034368191721132895,0.03417169995600114,0.33763120433115074,0.006260260956323589,0.8276242520328588,0.8521644749816474
0,0.9,0.839232513850362,0.0849077508181842,0.0,0.03505318155345432,0.3344945114587543,0.006932688823731074,0.8256444437558491,0.8528205839448749
0,1.0,0.8393712433916034,0.08156833651650561,0.00045060331825037706,0.03474041874641786,0.3318486414770599,0.006660026787768902,0.8263175908875764,0.8524248958956304
1,0.0,0.8372801779539818,0.07989788207638002,0.0015306582716578193,0.036128060479706216,0.3828746230541119,0.006523634753873093,0.8244938538363905,0.8500665020715731
1,0.1,0.8359933885382743,0.08304586395784726,0.0005797220972659569,0.035241708404872105,0.3776071669202353,0.006780666398177136,0.8227032823978472,0.8492834946787015
1,0.2,0.8379096505245252,0.08588297327360096,0.001049795090972701,0.03642993138147499,0.3716666983379937,0.007012315403780246,0.8241655123331159,0.8516537887159344
1,0.3,0.8412752101417085,0.08147713289506932,0.0005071647114797423,0.03614626501876063,0.36576717888267707,0.0066525800432618055,0.8282361532569154,0.8543142670265016
1,0.4,0.8387261538627843,0.08044452766448995,0.001007662508017838,0.035976457826119204,0.36104380698249555,0.006568268179240192,0.8258523482314735,0.8515999594940951
1,0.5,0.8384466372889695,0.08584467908791824,0.0010447626492557465,0.03599183542041366,0.356395363535295,0.00700918869661231,0.8247086274436094,0.8521846471343296
1,0.6,0.8393420480018372,0.08146689876518147,0.0008731398196751781,0.03526716173767982,0.35181913343781474,0.006651744430055586,0.8263046289189283,0.8523794670847461
1,0.7,0.838035956220044,0.08209093600889072,0.001254318964967401,0.03533537761166633,0.34779986111970956,0.006702696857641603,0.8248986703790665,0.8511732420610215
1,0.8,0.8398307652806184,0.08251858929838897,0.001256596021688354,0.0357904035325337,0.3447732553278463,0.006737614602511384,0.8266250406596961,0.8530364899015407
1,0.9,0.8414677326983141,0.07779524779658704,0.0011971447777051536,0.03556676856352692,0.3409671301046964,0.006351955383833854,0.8290179001459997,0.8539175652506285
1,1.0,0.8463893709800281,0.08018550030564424,0.000904328205818358,0.034315321730842896,0.339291064877571,0.006547118683953765,0.8335570183594787,0.8592217236005775
